name,version,licenses
libqt4-dbus,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-declarative,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-designer,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-dev,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-dev-bin,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-help,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-network,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-qt3support,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-script,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-scripttools,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-sql,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-svg,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-test,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-xml,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqt4-xmlpatterns,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqtcore4,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqtdbus4,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libqtgui4,['4:4.8.7+dfsg-7ubuntu1'],['[GPL-2 GPL-3 LGPL-2.1]']
libquadmath0,['8.4.0-1ubuntu1~18.04'],['[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL]']
librest-0.7-0,['0.8.0-2'],['[GPL-2 GPL-2+ LGPL-2.1]']
librsvg2-2,['2.40.20-2ubuntu0.2'],['[GPL-2 GPL-2+ LGPL-2 LGPL-2+]']
librsvg2-common,['2.40.20-2ubuntu0.2'],['[GPL-2 GPL-2+ LGPL-2 LGPL-2+]']
librsvg2-dev,['2.40.20-2ubuntu0.2'],['[GPL-2 GPL-2+ LGPL-2 LGPL-2+]']
libsensors4,['1:3.4.0-4ubuntu0.1'],['[GPL GPL-2]']
libsigc++-2.0-0v5,['2.10.0-2'],['[LGPL-2.1]']
libsoup-gnome2.4-1,['2.62.1-1ubuntu0.4'],['[LGPL-2 LGPL-2+]']
libsoup2.4-1,['2.62.1-1ubuntu0.4'],['[LGPL-2 LGPL-2+]']
libssh-4,['0.8.0~20170825.94fa1e38-1ubuntu0.7'],['[BSD-2-clause BSD-3-clause LGPL-2.1 LGPL-2.1+~OpenSSL public-domain]']
libstartup-notification0,['0.12-5'],['[LGPL-2 part]']
libthai-data,['0.1.27-2'],['[GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+]']
libthai0,['0.1.27-2'],['[GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+]']
libtiff-dev,['4.0.9-5ubuntu0.6'],['[Hylafax]']
libtiff5-dev,['4.0.9-5ubuntu0.6'],['[Hylafax]']
libtiffxx5,['4.0.9-5ubuntu0.6'],['[Hylafax]']
libunwind8,['1.2.1-8'],['[Expat GPL-2 GPL-2+]']
libwayland-client0,['1.16.0-1ubuntu1.1~18.04.3'],['[X11]']
libwayland-cursor0,['1.16.0-1ubuntu1.1~18.04.3'],['[X11]']
libwayland-egl1,['1.16.0-1ubuntu1.1~18.04.3'],['[X11]']
